Cliente,Fecha,Guia,Origen,Destino,Tipo,Peso,P. VENTA,No. Fact,Pago Cliente,Fecha Pago,Status
BLACK & DECKER DE PANAMA LLC,43640,2540070610,PANAMA,COSTA RICA,PAQUETE,2.5 KG/3 kg,151,623,151,43686,PAGADO
BLACK & DECKER DE PANAMA LLC,43640,2540070610,PANAMA,COSTA RICA,IMPUESTOS,2.5 KG/3 kg,79,761,,43686,PENDIENTE
BLACK & DECKER DE PANAMA LLC,43641,9684107451,PANAMA,PUERTO RICO,PAQUETE,2.5 KG/3 kg,174,627,174,43686,PAGADO
BLACK & DECKER DE PANAMA LLC,43623,5106656240,PANAMA,C.RICA,PAQUETE,3.5KG ,154,554,154,43686,PAGADO
BLACK & DECKER DE PANAMA LLC,43623,5106656240,PANAMA,C.RICA,IMPUESTOS,3.5KG ,82,761,,43686,PENDIENTE
BLACK & DECKER DE PANAMA LLC,43623,7433243123,PANAMA,P.RICO,PAQUETE,7 KG ,226,557,226,43686,PAGADO
BLACK & DECKER DE PANAMA LLC,43623,5106742620,PANAMA,P.RICO,PAQUETE,3.5 KG ,181,558,181,43686,PAGADO
BM Y ASOCIADOS,43602,1560674802,PANAMA,PERU,PAQUETE,2 KG ,117,485,117,43609,PAGADO
BROCE PINILLA Y ASOCIADOS,43627,2173092191,PANAMA,MEXICO,DOCUMENTO,0.5 KG ,42,563,42,43656,PAGADO
BROCE PINILLA Y ASOCIADOS,43627,2164518005,PANAMA,DUBAI,DOCUMENTO,0.5 KG ,81,564,81,43656,PAGADO
BROCE PINILLA Y ASOCIADOS,43644,4377191442,PANAMA,DUBAI,DOCUMENTOS,0.5 KG,74,639,74,43656,PAGADO
BROCE PINILLA Y ASOCIADOS,43661,2129497440,PANAMA,DUBAI,DOCUMENTOS,0.5 KG,81,691,81,43672,PAGADO
BROCE PINILLA Y ASOCIADOS,43665,9750721621,PANAMA,COSTA RICA,DOCUMENTOS,0.5 KG,32,707,32,43672,PAGADO
BROCE PINILLA Y ASOCIADOS,43690,3146746960,PANAMA,NICARAGUA,DOCUMENTOS,0.5 KG,31,798,,43672,PENDIENTE
BROCE PINILLA Y ASOCIADOS,43447,5536769685,PANAMA,COSTA RICA,DOCUMENTO,0.5 KGS,28,116,28,43672,PAGADO
BROCE PINILLA Y ASOCIADOS,43451,7113479715,PANAMA,ALEMANIA,DOCUMENTO,0.5 KGS,49,123,49,43460,PAGADO
BROCE PINILLA Y ASOCIADOS,43473,8992954331,PANAMA,MEXICO,DOCUMENTO,0.5 KGS,42,152,42,43475,PAGADO
BROCE PINILLA Y ASOCIADOS,43487,DIF TARIFA FLETE,,,,,13,172,13,43481,PAGADO
BROCE PINILLA Y ASOCIADOS,43495,7393565443,PANAMA,COSTA RICA,DOCUMENTO,0.5 KGS,31,204,31,43508,PAGADO
BROCE PINILLA Y ASOCIADOS,43497,4051391363,PANAMA,DUBAI,DOCUMENTO,0.5 KG,81,210,81,43508,PAGADO
BROCE PINILLA Y ASOCIADOS,43518,9233913813,PANAMA,DUBAI,DOCUMENTO,0.5 KG,79,255,79,43532,PAGADO
BROCE PINILLA Y ASOCIADOS,43521,3072859871,PANAMA,SINGAPORE,DOCUMENTO,0.5 KG,57,261,57,43532,PAGADO
BROCE PINILLA Y ASOCIADOS,43564,9772544202,PANAMA,MEXICO,DOCUMENTO,2 KG,105,345,105,43581,PAGADO
BROCE PINILLA Y ASOCIADOS,43572,9781466741,PANAMA,DUBAI,DOCUMENTO,0.5 KG,80,370,80,43598,PAGADO
BROCE PINILLA Y ASOCIADOS,43577,7964436034,PANAMA,MEXICO,DOCUMENTO,0.5 KG ,42,386,42,43623,PAGADO
BROCE PINILLA Y ASOCIADOS,43595,6777225534,PANAMA,MEXICO,DOCUMENTO,0.5 KG ,35,457,42,43652,PAGADO
BROCE PINILLA Y ASOCIADOS,43599,3320759960,PANAMA,MEXICO,DOCUMENTO,0.5 KG ,42,465,42,43652,PAGADO
BROCE PINILLA Y ASOCIADOS,43609,1636698280,PANAMA,DUBAI,DOCUMENTO,1 KG ,104,508,104,43652,PAGADO
CARIBANA LINE (ODIL BACCHUS),43613,4296325740,PANAMA,ESPAÑA,DOCUMENTO,0.5 KG ,54,512,54,43620,PAGADO
CARIBANA LINE (ODIL BACCHUS),43635,4477780705,PANAMA,ESPAÑA,DOCUMENTO,0.5 KG ,55,605,55,43642,PAGADO
CARIBANA LINE (ODIL BACCHUS),43423,7369170771,PANAMA,ESPAÑA,DOCUMENTO,0.5 KGS,53,76,53,43430,PAGADO
CARIBANA LINE (ODIL BACCHUS),43524,4612062792,PANAMA,ESPAÑA,DOCUMENTO,1 KG,67,258,67,43525,PAGADO
CARIBANA LINE (ODIL BACCHUS),43567,6557535832,PANAMA,ESPAÑA,DOCUMENTO,0.5 KG,55,340,55,43584,PAGADO
CARIBANA LINE (ODIL BACCHUS),43581,RO240433,PANAMA,CUBA,PAQUETE,1 KG,73,406,73,43584,PAGADO
CENTRAL DE LUBICANTES (BREMEN),43468,7187204356,PANAMA,JAPON,DOCUMENTO,0.5 KGS,58,143,58,43502,PAGADO
CENTRAL DE LUBICANTES (BREMEN),43468,7187209326,PANAMA,COSTA RICA,DOCUMENTO,0.5 KGS,31,144,31,43502,PAGADO
CENTRAL DE LUBICANTES (BREMEN),43482,5396688581,PANAMA,COSTA RICA,DOCUMENTO,0.5 KG,30,164,30,43502,PAGADO
CENTRAL DE LUBICANTES (BREMEN),43522,1360374713,PANAMA,SOUTH KOREA,DOCUMENTO,0.5 KG,57,267,57,43542,PAGADO
CENTROLUM PANAMA. S.A.,43578,2175605014,CHINA,PANAMA,PAQUETE,9 KG,290,379,290,43599,PAGADO
CENTROLUM PANAMA. S.A.,43607,1636550624,COLOMBIA,PANAMA,PAQUETE,27.5 KG ,403,497,403,43620,PAGADO
CESA DE PANAMA. S.A / PANAGLOBAL,43444,1922050200,PANAMA,NICARAGUA,DOCUMENTO,0.5 KGS,154,107,154,43480,PAGADO
CHINDO INTERNACIONAL,43391,2223912386,COLON FREE ZONE,PERU,DOCUMENTO,0.5 KGS,41,27,41,43431,PAGADO
CHINDO INTERNACIONAL,43391,4537863540,COLON FREE ZONE,BELGICA,DOCUMENTO,0.3 KGS,53,29,53,43431,PAGADO
CHINDO INTERNACIONAL,43413,1241084456,COLON FREE ZONE,BELGICA,DOCUMENTO,0.5 KGS,53,55,53,43453,PAGADO
CHINDO INTERNACIONAL,43445,4137839101,COLON FREE ZONE,ALEMANIA,PAQUETE,0.5 KGS,43,60,43,43453,PAGADO
CHINDO INTERNACIONAL,43437,3716309052,COLON FREE ZONE,PERU,DOCUMENTO,0.5 KGS,41,97,41,43453,PAGADO
COLUMBUS UNIVERSITY,43620,8450729910,PANAMA,USA ,DOCUMENTO,0.5 KG ,38,545,38,43649,PAGADO
COLUMBUS UNIVERSITY,43403,2080353612,PANAMA,BELGICA,DOCUMENTO,0.5 KGS,49,46,49,43411,PAGADO
COLUMBUS UNIVERSITY,43419,6490303142,PANAMA,ESPAÑA,DOCUMENTO,0.5 KGS,53,70,53,43411,PENDIENTE
COLUMBUS UNIVERSITY,43435,7178784410,PANAMA,UNITED KINDOM,DOCUMENTO,0.5 KGS,53,94,53,43411,PAGADO
COLUMBUS UNIVERSITY,43435,6431612342,PANAMA,ECUADOR,DOCUMENTO,0.5 KGS,41,95,41,43411,PAGADO
COLUMBUS UNIVERSITY,43439,6769453810,PANAMA,ORLANDO / USA,DOCUMENTO,0.5 KGS,37,101,37,43411,PAGADO
COLUMBUS UNIVERSITY,43508,4909248632,PANAMA,VENEZUELA,DOCUMENTO,0.5 KG,41,230,41,43411,PAGADO
COLUMBUS UNIVERSITY,43594,2548751365,PANAMA,ESPAÑA,DOCUMENTO,0.5 KG ,87,449,87,43411,PAGADO
COLUMBUS UNIVERSITY,43594,2548756280,PANAMA,ESPAÑA,DOCUMENTO,0.5 KG ,54,450,54,43411,PAGADO
COSTARANGOS & ASOC,43384,4899826676,PANAMA,GREECE,DOCUMENTO,0.5 KGS,55,,55,43411,PAGADO
CRUZ ROJA ESPAÑOLA,43542,3898265615,PANAMA,BOLIVIA,DOCUMENTO,0.5 KG,37,293,37,43411,PAGADO
DINA KHALILI,43682,PO BOX ,USA,PANAMA,PAQUETE,14 LBS,40,760,40,43411,PAGADO
DIT SERVICES.S.A. ,43642,8190371070,PANAMA,VENEZUELA,DOCUMENTOS,0.5 KG,69,630,69,43411,PAGADO
ELIAS COHEN,43388,4080121636,PANAMA,USA,DOCUMENTO,0.3 KGS,31,21,31,43411,PAGADO
ELIAS COHEN,43398,4885005963,PANAMA,USA,DOCUMENTO,1 KGS,39,47,39,43411,PAGADO
ELIAS COHEN,43445,4137724135,PANAMA,USA,DOCUMENTO,0.5 KGS,31,61,31,43411,PAGADO
ELIAS COHEN,43430,4889102400,PANAMA,USA,DOCUMENTO,0.5 KGS,31,87,31,43411,PAGADO
ELIAS COHEN,43446,7927890504,PANAMA,USA (MIAMI),DOCUMENTO,1 KGS,39,115,39,43411,PAGADO
ELIAS COHEN,43467,9972053674,PANAMA,USA (MIAMI),DOCUMENTO,1 KGS,40,138,40,43411,PAGADO
ELIAS COHEN,43480,7183486354,PANAMA,USA,DOCUMENTO,1 KG,40,157,40,43411,PAGADO
ELIAS COHEN,43504,2354118421,PANAMA,USA (MIAMI),DOCUMENTO,1 KG,40,222,40,43411,PAGADO
ELIAS COHEN,43518,5847635636,PANAMA,USA (REST),DOCUMENTO,1 KGS,40,252,40,43411,PAGADO
ELIAS COHEN,43542,1771404946,PANAMA,USA (MIAMI),DOCUMENTO,1 KG,50,292,50,43411,PAGADO
ELIAS COHEN,43556,4649470965,PANAMA,USA (MIAMI),DOCUMENTO,1 KG,46,324,46,43411,PAGADO
ELIAS COHEN,43571,2286402425,PANAMA,USA (MIAMI),DOCUMENTO,1 KG,46,361,46,43411,PAGADO
ELIAS COHEN,43585,4888066842,PANAMA,USA (MIAMI),DOCUMENTO,1 KG,46,417,46,43411,PAGADO
ELIAS COHEN,43599,3320794142,PANAMA,USA (MIAMI),DOCUMENTO,1 KG,46,490,46,43411,PAGADO
ELIAS COHEN,43613,4233614350,PANAMA,USA (MIAMI),DOCUMENTO,1 KG ,46,516,46,43411,PAGADO
ELIAS COHEN,43640,9297598914,PANAMA,USA,DOCUMENTOS,1.0 KG,47,618,47,43411,PAGADO
ELIAS COHEN,43676,4045913233,PANAMA,USA,DOCUMENTOS,1.0  KG,47,735,47,43411,PAGADO
ELIAS COHEN,43696,2847663335,PANAMA,USA,DOCUMENTOS,1 KG ,46,816,,43411,PENDIENTE
ELIAS COHEN ,43627,2173114576,PANAMA,USA ,DOCUMENTO,1KG ,47,566,47,43411,PAGADO
ELIAS COHEN ,43655,4058317454,PANAMA,USA ,DOCUMENTOS,1 KG ,47,666,47,43411,PAGADO
EMBAJADA DE PARAGUAY EN PANAMA,43587,4789518985,PANAMA,PARAGUAY,DOCUMENTO,0.5 KG ,42,422,42,43411,PAGADO
ENDOSERVICE S.A,43679,8080348334,PANAMA,REP.DOMINIC,PAQUETE,9.0 KG,160,754,49,43411,PAGADO
ENDOSERVICE S.A,43684,6969233386,PANAMA,USA,PAQUETE,0.5 KG,67,774,,43411,PENDIENTE
ENDOSERVICE S.A,43699,6915937744,USA,PANAMA,PAQUETE,3.5/2 KG  ,139,825,,43411,PENDIENTE
ENDOSERVICE S.A,43542,1771384624,PANAMA,CHILE,PAQUETE,5 KGS,185,291,185,43552,PAGADO
ENDOSERVICE S.A,43559,1539299904,USA (MIAMI),PANAMA,PAQUETE,43 KG,449,334,449,43571,PAGADO
ENDOSERVICE S.A,43585,9508641962,USA (MIAMI),PANAMA,PAQUETE,39 KG,464,413,464,43601,PAGADO
ENDOSERVICE S.A,43391,2223919165,PANAMA,SANTO DOMINGO,PAQUETE,0.5 KGS,67,26,67,43416,PAGADO
ENDOSERVICE S.A,43433,5180207874,PANAMA,USA (MIAMI),PAQUETE,5 KGS,140,92,140,43462,PAGADO
ENDOSERVICE S.A,43827,2652055335,PANAMA,DOMINICANA,PAQUETE,0.5 KGS,66,133,311,43495,PAGADO
ENDOSERVICE S.A,43507,4052914784,PANAMA,USA (MIAMI),PAQUETE,0.5 KG,67,224,67,43532,PAGADO
ENDOSERVICE S.A,43532,7109987942,PANAMA,USA (MIAMI),PAQUETE,1 KG,79,272,79,43532,PAGADO
ENDOSERVICE S.A,43551,2586018492,PANAMA,USA (REST),PAQUETE,4 KG,142,318,142,43571,PAGADO
ENDOSERVICE S.A,43585,9508722602,PANAMA,USA (REST),PAQUETE,3.0 KG,115,416,115,43601,PAGADO
ENDOSERVICE S.A,43607,1636487915,PANAMA,USA (REST),PAQUETE,4.5 KG ,152,496,152,43627,PAGADO
ENDOSERVICE S.A,43614,1904601904,PANAMA,SANTO DOMINGO,PAQUETE,13 kg vol,242,527,242,43627,PAGADO
ENDOSERVICE S.A,43616,5900873985,PANAMA,SANTO DOMINGO,PAQUETE,22kg ,294,537,294,43627,PAGADO
ENDOSERVICE S.A,43622,4629783292,PANAMA,GUATEMALA,PAQUETE,7.5 / 9 KG COTI,161,550,161,43656,PAGADO
ENDOSERVICE S.A,43627,2164622865,PANAMA,USA ,PAQUETE,5 KG ,148,571,148,43656,PAGADO
ENDOSERVICE S.A,43636,9910099360,PANAMA,REP. DOM,PAQUETE,21.5 KG ,267,606,267,43656,PAGADO
ENDOSERVICE S.A,43656,7416566360,PANAMA,USA ,PAQUETE,4.5/ 5 KG ,141,671,141,43676,PAGADO
ENDOSERVICE S.A,43657,9300804365,PANAMA,USA,PAQUETE,3.5 KG / 5.0 KG,161,676,161,43676,PAGADO
ENDOSERVICE S.A,43672,5494343013,PANAMA,USA,PAQUETE,2.0 KG,105,720,105,43676,PAGADO
ESEMTEX,43412,1596805173,COLON FREE ZONE,PAKISTAN,PAQUETE,0.5 KGS,127,56,127,43434,PAGADO
ESEMTEX,43447,4340279613,COLON FREE ZONE,MEDELLIN, COLOMBIA,PAQUETE,0.5 KGS,55,117,43434,43497
ESEMTEX,43452,2363385570,COLON FREE ZONE,CHINA,PAQUETE,0.5 KGS,91,125,91,43497,PAGADO
ESEMTEX,43542,3898310146,COLON FREE ZONE,COLOMBIA,PAQUETE,0.3 KGS,54,296,54,43556,PAGADO
ESREMOCAL,43598,3294582432,PANAMA,COLOMBIA,PAQUETE,36.5 KG,443,459,443,43615,PAGADO
ETIPLAST PANAMA. S.A,43652,4866378436,PANAMA,COSTA RICA,PAQUETE,1 KG,75,643,75,43652,PAGADO
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43630,5645773044,PANAMA,DUBAI,DOCUMENTO,0.5 KG,74,587,74,43693,PAGADO
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43637,6794645443,PANAMA,DUBAI,DOCUMENTO,0.5 kg ,74,616,74,43693,PAGADO
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43651,4547675064,PANAMA,DUBAI,DOCUMENTOS,1 KG ,91,655,,43693,PENDIENTE
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43651,3542827466,PANAMA,EGYPTO,DOCUMENTOS,0.5 KG ,74,656,,43693,PENDIENTE
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43658,3047509220,PANAMA,DUBAI,DOCUMENTOS,0.5 KG,74,679,,43693,PENDIENTE
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43658,5014558076,PANAMA,CHINA,DOCUMENTOS,0.5 KG,54,682,,43693,PENDIENTE
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43552,5811297726,PANAMA,MEXICO,PAQUETE,1 KG,82,321,82,43693,PAGADO
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43577,7964426142,PANAMA,DUBAI,DOCUMENTO,0.5 KG,74,384,74,43598,PAGADO
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43577,6723258916,PANAMA,BAHRAIN,DOCUMENTO,0.5 KG ,74,385,74,43598,PAGADO
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43578,4090566314,PANAMA,EGIPTO,DOCUMENTO,0.5 kg ,74,390,74,43599,PAGADO
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43580,1453412634,PANAMA,UNITED KINDOM,DOCUMENTO,0.5 KG,50,403,50,43599,PAGADO
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43585,1303576923,PANAMA,DUBAI,DOCUMENTO,0.5 KG ,74,419,74,43657,PAGADO
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43588,7124784940,PANAMA,ESPAÑA,DOCUMENTO,0.5 KG ,50,433,50,43599,PAGADO
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43594,2548782552,PANAMA,ITALIA,DOCUMENTO,0.5 KG,50,452,50,43657,PAGADO
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43595,6777202880,PANAMA,DUBAI,DOCUMENTO,0.5 KG ,74,456,74,43657,PAGADO
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43598,4974735253,PANAMA,COLOMBIA,PAQUETE,5 KG ,172,463,172,43657,PAGADO
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43602,5973420994,PANAMA,TURQUIA,DOCUMENTO,0.5 KG ,50,487,50,43657,PAGADO
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43602,4343367276,PANAMA,DUBAI,DOCUMENTO,0.5 KG ,74,488,74,43657,PAGADO
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43602,5973434073,PANAMA,LIBANO,DOCUMENTO,0.5 KG ,74,489,74,43657,PAGADO
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43608,4920338500,PANAMA,CANADA,DOCUMENTO,0.5 KG ,35,507,35,43647,PAGADO
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43616,6919953784,PANAMA,DUBAI,DOCUMENTO,0.5 KG ,74,541,74,43693,PAGADO
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43640,4734930292,PANAMA,LIBANO,DOCUMENTOS,0.5 KG,74,620,74,43693,PAGADO
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43644,2154695583,PANAMA,CYPRUS,DOCUMENTOS,0.5 KG,50,642,50,43693,PAGADO
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43663,3380750052,PANAMA,CYPRUS,DOCUMENTOS,0.5 KG,50,698,,43693,PENDIENTE
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43670,2198851616,PANAMA,DUBAI,DOCUMENTOS,1 KG,91,716,,43693,PENDIENTE
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43679,4315461986,PANAMA,TURKEY,DOCUMENTOS,0.5 KG,49,751,,43693,PENDIENTE
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43679,2513735781,PANAMA,USA,DOCUMENTOS,0.5 KG,35,756,,43693,PENDIENTE
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43679,2513738673,PANAMA,DUBAI,DOCUMENTOS,1 KG,91,757,,43693,PENDIENTE
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43679,2513741576,PANAMA,BEIRUT,DOCUMENTOS,0.5 KG,73,758,,43693,PENDIENTE
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43679,8991291503,PANAMA,GREECE,DOCUMENTOS,0.5 KG,49,759,,43693,PENDIENTE
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43685,6969531052,PANAMA,CHINA,DOCUMENTOS,0.5 KG,53,789,,43693,PENDIENTE
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43691,4780333563,PANAMA,CHINA,DOCUMENTOS,0.5 KG,53,807,,43693,PENDIENTE
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43697,4583359034,PANAMA,CHINA,DOCUMENTOS,0.5 KG ,53,817,,43693,PENDIENTE
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43698,1093376211,PANAMA,USA,DOCUMENTOS,0.5 KG ,35,820,,43693,PENDIENTE
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43699,4942052695,PANAMA,FRANCE,DOCUMENTOS,0.5 KG ,49,827,,43693,PENDIENTE
GLOBAL MARITIME CONSULTANTS GROUP PANAMA,43699,1441216055,PANAMA,UKRANIA ,DOCUMENTOS,0.5 KG ,49,828,,43693,PENDIENTE
GP GROUP ZONA LIBRE,43572,6463632232,COLON FREE ZONE,SANTO DOMINGO,PAQUETE,9.5 KGS,149,368,149,43605,PAGADO
GP GROUP ZONA LIBRE,43658,5014599343,PANAMA,TRIN Y TOB,PAQUETE,0.5 KG,70,683,70,43698,PAGADO
GUIEHR. S.A.,43656,1027549241 ( VIA CARGA KN),USA,PANAMA,PAQUETE,85.5KG ,678,644,678,43664,PAGADO
GUIEHR. S.A.,43508,8271125774,PANAMA,USA (REST),PAQUETE,1 KG,66,231,66,43517,PAGADO
GUIEHR. S.A.,43572,7809277335,PANAMA,USA (REST),PAQUETE,7 KGS,188,366,188,43585,PAGADO
GUIEHR. S.A.,43578,7716005706,PANAMA,ALEMANIA,PAQUETE,63 KG ,746,387,746,43594,PAGADO
GUIEHR. S.A.,43608,1297411636,PANAMA,USA (REST),PAQUETE,39 KG,382,500,382,43622,PAGADO
GUILLERMO GONZALEZ,43594,4407663466,PANAMA,USA (MIAMI),DOCUMENTO,0.5 KG ,40,435,40,43599,PAGADO
HEROE S.A,43619,5110351315,PANAMA,REP. DOM,DOCUMENTO,0.5 KG ,32,543,32,43664,PAGADO
HEROE S.A,43650,3590728153,PANAMA,REP. DOM,PAQUETE,1.5 KG ,84,650,84,43664,PAGADO
HEROE S.A,43384,9065404305,COLON FREE ZONE,DOMINICANA,DOCUMENTO,0.3 KGS,36,15,36,43389,PAGADO
HEROE S.A,43397,3271800081,COLON FREE ZONE,SANTO DOMINGO,DOCUMENTO,0.5 KGS,31,38,31,43413,PAGADO
HEROE S.A,43403,1364207386,COLON FREE ZONE,DOMINICANA,DOCUMENTO,0.5 KGS,31,52,31,43413,PAGADO
HEROE S.A,43420,2409329436,COLON FREE ZONE,CHINA,PAQUETE,0.5 KGS,98,72,98,43434,PAGADO
HEROE S.A,43431,6410526463,COLON FREE ZONE,DOMINICANA,DOCUMENTO,0.5 KGS,31,88,31,43434,PAGADO
HEROE S.A,43439,6769522001,COLON FREE ZONE,SANTO DOMINGO,DOCUMENTO,0.5 KGS,31,104,31,43468,PAGADO
HEROE S.A,43467,2541486485,COLON FREE ZONE,SANTO DOMINGO,DOCUMENTO,0.5 KGS,31,137,31,43497,PAGADO
HEROE S.A,43514,2869289673,COLON FREE ZONE,SANTO DOMINGO,DOCUMENTO,0.5 KGS,31,239,31,43525,PAGADO
HEROE S.A,43515,2806504956,COLON FREE ZONE,CHINA,PAQUETE,1 KG,100,241,100,43525,PAGADO
HEROE S.A,43522,4924485650,COLON FREE ZONE,SANTO DOMINGO,DOCUMENTO,0.5 KG,31,259,31,43525,PAGADO
HEROE S.A,43558,1612530113,COLON FREE ZONE,SANTO DOMINGO,DOCUMENTO,0.5 KG,31,333,31,43592,PAGADO
HEROE S.A,43564,1850981156,COLON FREE ZONE,CHINA,PAQUETE,2 KG,126,349,126,43592,PAGADO
HEROE S.A,43608,1297416573,COLON FREE ZONE,SANTO DOMINGO,DOCUMENTO,1 KG ,40,501,40,43629,PAGADO
HEROE S.A,43608,1297423820,COLON FREE ZONE,CHILE,PAQUETE,1 KG ,90,502,90,43629,PAGADO
